feature	motif1	motif2	motif.type	feature_type
Zm00001d043785	1	2	both	gene
Zm00001d043789	0	2	motif2	gene
Zm00001d043797	3	1	both	gene
Zm00001d043800	0	1	motif2	gene
Zm00001d043805	2	1	both	gene
Zm00001d043807	0	5	motif2	gene
Zm00001d043813	1	2	both	gene
Zm00001d043815	0	1	motif2	gene
Zm00001d043819	2	0	motif1	gene
Zm00001d043821	1	0	motif1	gene
Zm00001d043822	1	2	both	gene
Zm00001d043823	0	2	motif2	gene
Zm00001d043825	0	1	motif2	gene
Zm00001d043827	2	1	both	gene
Zm00001d043834	1	0	motif1	gene
Zm00001d043835	7	7	both	gene
Zm00001d043838	0	1	motif2	gene
Zm00001d043840	2	2	both	gene
Zm00001d043841	0	5	motif2	gene
Zm00001d043842	0	1	motif2	gene
Zm00001d043843	3	3	both	gene
Zm00001d043844	3	0	motif1	gene
Zm00001d043845	0	1	motif2	gene
Zm00001d043850	1	0	motif1	gene
Zm00001d043851	1	1	both	gene
Zm00001d043853	0	1	motif2	gene
Zm00001d043855	0	3	motif2	gene
Zm00001d043859	1	0	motif1	gene
Zm00001d043860	0	4	motif2	gene
Zm00001d043861	1	5	both	gene
Zm00001d043878	1	0	motif1	gene
Zm00001d043879	1	0	motif1	gene
Zm00001d043880	0	1	motif2	gene
Zm00001d043881	1	1	both	gene
Zm00001d043890	1	2	both	gene
Zm00001d043895	2	0	motif1	gene
Zm00001d043896	0	1	motif2	gene
Zm00001d043900	1	2	both	gene
Zm00001d043903	0	1	motif2	gene
Zm00001d043905	0	1	motif2	gene
Zm00001d043909	1	0	motif1	gene
Zm00001d043914	0	2	motif2	gene
Zm00001d043915	2	0	motif1	gene
Zm00001d043917	0	1	motif2	gene
Zm00001d043918	0	2	motif2	gene
Zm00001d043922	0	1	motif2	gene
Zm00001d043924	2	3	both	gene
Zm00001d043925	0	2	motif2	gene
Zm00001d043927	0	1	motif2	gene
Zm00001d043931	0	1	motif2	gene
Zm00001d043935	1	0	motif1	gene
Zm00001d043937	1	1	both	gene
Zm00001d043941	1	1	both	gene
Zm00001d043942	0	1	motif2	gene
Zm00001d043944	1	0	motif1	gene
Zm00001d043946	1	0	motif1	gene
Zm00001d043948	2	2	both	gene
Zm00001d043953	1	1	both	gene
Zm00001d043954	0	1	motif2	gene
Zm00001d043958	1	0	motif1	gene
Zm00001d043959	1	1	both	gene
Zm00001d043962	0	1	motif2	gene
Zm00001d043965	1	0	motif1	gene
Zm00001d043971	1	0	motif1	gene
Zm00001d043975	0	1	motif2	gene
Zm00001d043978	0	1	motif2	gene
Zm00001d043980	1	0	motif1	gene
Zm00001d043981	2	1	both	gene
Zm00001d043984	1	0	motif1	gene
Zm00001d043986	2	2	both	gene
Zm00001d043991	0	1	motif2	gene
Zm00001d043992	0	1	motif2	gene
Zm00001d043997	3	0	motif1	gene
Zm00001d043998	1	1	both	gene
Zm00001d044001	1	1	both	gene
Zm00001d044002	0	1	motif2	gene
Zm00001d044016	1	5	both	gene
Zm00001d044017	1	0	motif1	gene
Zm00001d044018	1	0	motif1	gene
Zm00001d044019	2	0	motif1	gene
Zm00001d044021	1	1	both	gene
Zm00001d044023	0	1	motif2	gene
Zm00001d044025	3	2	both	gene
Zm00001d044026	2	1	both	gene
Zm00001d044035	0	1	motif2	gene
Zm00001d044040	0	2	motif2	gene
Zm00001d044043	2	1	both	gene
Zm00001d044044	1	0	motif1	gene
Zm00001d044045	1	0	motif1	gene
Zm00001d044048	1	0	motif1	gene
Zm00001d044052	0	1	motif2	gene
Zm00001d044053	0	1	motif2	gene
Zm00001d044056	0	1	motif2	gene
Zm00001d044057	5	0	motif1	gene
Zm00001d044059	0	2	motif2	gene
Zm00001d044060	2	0	motif1	gene
Zm00001d044071	1	0	motif1	gene
Zm00001d044073	1	0	motif1	gene
Zm00001d044083	0	1	motif2	gene
Zm00001d044086	1	1	both	gene
Zm00001d044092	0	1	motif2	gene
Zm00001d044093	0	1	motif2	gene
Zm00001d044099	1	0	motif1	gene
Zm00001d044101	0	1	motif2	gene
Zm00001d044102	2	0	motif1	gene
Zm00001d044103	1	0	motif1	gene
Zm00001d044112	0	1	motif2	gene
Zm00001d044116	1	0	motif1	gene
Zm00001d044121	0	2	motif2	gene
Zm00001d044129	1	1	both	gene
Zm00001d044136	1	1	both	gene
Zm00001d044138	1	3	both	gene
Zm00001d044139	1	0	motif1	gene
Zm00001d044144	1	2	both	gene
Zm00001d044146	0	1	motif2	gene
Zm00001d044149	1	0	motif1	gene
Zm00001d044152	1	0	motif1	gene
Zm00001d044156	0	1	motif2	gene
Zm00001d044157	0	1	motif2	gene
Zm00001d044159	0	1	motif2	gene
Zm00001d044162	0	1	motif2	gene
Zm00001d044164	1	3	both	gene
Zm00001d044165	1	0	motif1	gene
Zm00001d044172	0	3	motif2	gene
Zm00001d044175	1	2	both	gene
Zm00001d044184	2	0	motif1	gene
Zm00001d044186	0	2	motif2	gene
Zm00001d044187	1	0	motif1	gene
Zm00001d044189	0	1	motif2	gene
Zm00001d044191	1	1	both	gene
Zm00001d044193	0	2	motif2	gene
Zm00001d044195	1	2	both	gene
Zm00001d044201	3	2	both	gene
Zm00001d044202	1	0	motif1	gene
Zm00001d044203	2	0	motif1	gene
Zm00001d044205	1	0	motif1	gene
Zm00001d044206	0	2	motif2	gene
Zm00001d044211	2	4	both	gene
Zm00001d044213	0	2	motif2	gene
Zm00001d044219	0	1	motif2	gene
Zm00001d044220	1	2	both	gene
Zm00001d044222	1	1	both	gene
Zm00001d044224	2	2	both	gene
Zm00001d044225	1	1	both	gene
Zm00001d044226	1	2	both	gene
Zm00001d044232	1	0	motif1	gene
Zm00001d044235	0	1	motif2	gene
Zm00001d044239	1	0	motif1	gene
Zm00001d044240	1	2	both	gene
Zm00001d044241	0	2	motif2	gene
Zm00001d044243	2	0	motif1	gene
Zm00001d044247	1	0	motif1	gene
Zm00001d044250	0	1	motif2	gene
Zm00001d044251	0	2	motif2	gene
Zm00001d044259	0	1	motif2	gene
Zm00001d044260	2	1	both	gene
Zm00001d044264	0	1	motif2	gene
Zm00001d044266	0	3	motif2	gene
Zm00001d044271	2	1	both	gene
Zm00001d044273	3	2	both	gene
Zm00001d044274	0	4	motif2	gene
Zm00001d044275	1	0	motif1	gene
Zm00001d044277	1	0	motif1	gene
Zm00001d044280	1	0	motif1	gene
Zm00001d044281	5	2	both	gene
Zm00001d044283	6	1	both	gene
Zm00001d044284	1	2	both	gene
Zm00001d044286	1	1	both	gene
Zm00001d044287	1	0	motif1	gene
Zm00001d044289	2	1	both	gene
Zm00001d044290	1	1	both	gene
Zm00001d044297	1	4	both	gene
Zm00001d044301	1	2	both	gene
Zm00001d044303	0	1	motif2	gene
Zm00001d044304	0	1	motif2	gene
Zm00001d044309	1	0	motif1	gene
Zm00001d044311	0	2	motif2	gene
Zm00001d044313	2	3	both	gene
Zm00001d044314	0	2	motif2	gene
Zm00001d044315	3	0	motif1	gene
Zm00001d044318	1	0	motif1	gene
Zm00001d044322	2	4	both	gene
Zm00001d044324	0	2	motif2	gene
Zm00001d044326	0	1	motif2	gene
Zm00001d044330	0	1	motif2	gene
Zm00001d044332	1	0	motif1	gene
Zm00001d044333	1	0	motif1	gene
Zm00001d044338	0	1	motif2	gene
Zm00001d044342	0	1	motif2	gene
Zm00001d044350	1	0	motif1	gene
Zm00001d044353	0	1	motif2	gene
Zm00001d044355	3	1	both	gene
Zm00001d044358	1	6	both	gene
Zm00001d044362	0	1	motif2	gene
Zm00001d044363	1	1	both	gene
Zm00001d044364	5	10	both	gene
Zm00001d044366	2	1	both	gene
Zm00001d044375	0	1	motif2	gene
Zm00001d044381	1	0	motif1	gene
Zm00001d044386	1	0	motif1	gene
Zm00001d044387	0	1	motif2	gene
Zm00001d044393	1	1	both	gene
Zm00001d044398	0	1	motif2	gene
Zm00001d044400	0	1	motif2	gene
Zm00001d044405	3	3	both	gene
Zm00001d044406	0	1	motif2	gene
Zm00001d044407	0	1	motif2	gene
Zm00001d044410	1	0	motif1	gene
Zm00001d044412	0	1	motif2	gene
Zm00001d044415	2	0	motif1	gene
Zm00001d044417	1	0	motif1	gene
Zm00001d044419	1	0	motif1	gene
Zm00001d044420	0	2	motif2	gene
Zm00001d044429	0	1	motif2	gene
Zm00001d044432	2	5	both	gene
Zm00001d044433	3	1	both	gene
Zm00001d044437	1	0	motif1	gene
Zm00001d044443	1	2	both	gene
Zm00001d044445	1	1	both	gene
Zm00001d044447	2	4	both	gene
Zm00001d044450	0	1	motif2	gene
Zm00001d044451	1	0	motif1	gene
Zm00001d044456	0	1	motif2	gene
Zm00001d044463	1	2	both	gene
Zm00001d044465	0	1	motif2	gene
Zm00001d044467	1	0	motif1	gene
Zm00001d044468	1	2	both	gene
Zm00001d044469	0	1	motif2	gene
Zm00001d044470	0	2	motif2	gene
Zm00001d044478	2	5	both	gene
Zm00001d044480	2	0	motif1	gene
Zm00001d044481	2	2	both	gene
Zm00001d044487	3	3	both	gene
Zm00001d044488	2	2	both	gene
Zm00001d044494	1	2	both	gene
Zm00001d044495	1	0	motif1	gene
Zm00001d044496	1	5	both	gene
Zm00001d044497	1	0	motif1	gene
Zm00001d044498	1	3	both	gene
Zm00001d044500	1	0	motif1	gene
Zm00001d044502	1	0	motif1	gene
Zm00001d044503	1	0	motif1	gene
Zm00001d044506	2	4	both	gene
Zm00001d044507	2	2	both	gene
Zm00001d044508	1	0	motif1	gene
Zm00001d044510	2	0	motif1	gene
Zm00001d044511	2	1	both	gene
Zm00001d044513	0	1	motif2	gene
Zm00001d044514	1	0	motif1	gene
Zm00001d044523	2	0	motif1	gene
Zm00001d044527	2	1	both	gene
Zm00001d044529	0	1	motif2	gene
Zm00001d044532	0	1	motif2	gene
Zm00001d044537	0	1	motif2	gene
Zm00001d044540	1	1	both	gene
Zm00001d044541	0	1	motif2	gene
Zm00001d044542	1	1	both	gene
Zm00001d044547	1	1	both	gene
Zm00001d044549	1	1	both	gene
Zm00001d044551	1	1	both	gene
Zm00001d044552	0	3	motif2	gene
Zm00001d044558	1	1	both	gene
Zm00001d044559	2	0	motif1	gene
Zm00001d044564	0	1	motif2	gene
Zm00001d044566	5	9	both	gene
Zm00001d044567	1	0	motif1	gene
Zm00001d044570	7	5	both	gene
Zm00001d044572	0	2	motif2	gene
Zm00001d044573	8	2	both	gene
Zm00001d044575	2	3	both	gene
Zm00001d044576	0	1	motif2	gene
Zm00001d044581	0	1	motif2	gene
Zm00001d044584	2	8	both	gene
Zm00001d044586	3	0	motif1	gene
Zm00001d044588	0	1	motif2	gene
Zm00001d044593	1	0	motif1	gene
Zm00001d044599	2	0	motif1	gene
Zm00001d044600	0	2	motif2	gene
Zm00001d044601	0	1	motif2	gene
Zm00001d044602	2	1	both	gene
Zm00001d044614	1	3	both	gene
Zm00001d044620	0	1	motif2	gene
Zm00001d044629	0	1	motif2	gene
Zm00001d044630	1	0	motif1	gene
Zm00001d044640	0	2	motif2	gene
Zm00001d044641	2	2	both	gene
Zm00001d044646	1	6	both	gene
Zm00001d044647	0	1	motif2	gene
Zm00001d044648	2	0	motif1	gene
Zm00001d044649	0	3	motif2	gene
Zm00001d044650	0	1	motif2	gene
Zm00001d044653	0	1	motif2	gene
Zm00001d044656	2	1	both	gene
Zm00001d044657	1	1	both	gene
Zm00001d044665	2	0	motif1	gene
Zm00001d044667	0	1	motif2	gene
Zm00001d044673	0	1	motif2	gene
Zm00001d044674	1	0	motif1	gene
Zm00001d044687	1	0	motif1	gene
Zm00001d044689	2	0	motif1	gene
Zm00001d044695	1	1	both	gene
Zm00001d044696	2	0	motif1	gene
Zm00001d044699	2	0	motif1	gene
Zm00001d044704	1	0	motif1	gene
Zm00001d044706	0	1	motif2	gene
Zm00001d044708	0	2	motif2	gene
Zm00001d044709	1	0	motif1	gene
Zm00001d044710	0	2	motif2	gene
Zm00001d044713	0	1	motif2	gene
Zm00001d044717	2	1	both	gene
Zm00001d044720	1	1	both	gene
Zm00001d044724	1	0	motif1	gene
Zm00001d044726	0	1	motif2	gene
Zm00001d044729	0	1	motif2	gene
Zm00001d044730	0	2	motif2	gene
Zm00001d044732	1	0	motif1	gene
Zm00001d044733	2	1	both	gene
Zm00001d044736	3	2	both	gene
Zm00001d044738	1	1	both	gene
Zm00001d044740	1	2	both	gene
Zm00001d044743	0	1	motif2	gene
Zm00001d044745	2	0	motif1	gene
Zm00001d044746	2	2	both	gene
Zm00001d044748	1	2	both	gene
Zm00001d044754	0	1	motif2	gene
Zm00001d044757	2	3	both	gene
Zm00001d044759	0	1	motif2	gene
Zm00001d044760	1	0	motif1	gene
Zm00001d044762	1	0	motif1	gene
Zm00001d044766	0	1	motif2	gene
Zm00001d044767	0	1	motif2	gene
Zm00001d044774	1	0	motif1	gene
Zm00001d044781	1	0	motif1	gene
Zm00001d044789	1	0	motif1	gene
Zm00001d044790	0	1	motif2	gene
Zm00001d044793	1	0	motif1	gene
Zm00001d044795	0	2	motif2	gene
Zm00001d044802	1	4	both	gene
Zm00001d044806	0	1	motif2	gene
Zm00001d044809	0	1	motif2	gene
Zm00001d044814	0	2	motif2	gene
Zm00001d044815	1	3	both	gene
Zm00001d044819	1	1	both	gene
Zm00001d044820	1	1	both	gene
Zm00001d044823	1	1	both	gene
Zm00001d044826	0	1	motif2	gene
Zm00001d044828	1	0	motif1	gene
Zm00001d044833	1	0	motif1	gene
Zm00001d044835	2	0	motif1	gene
Zm00001d044844	1	0	motif1	gene
Zm00001d044845	3	1	both	gene
Zm00001d044850	2	0	motif1	gene
Zm00001d044855	0	1	motif2	gene
Zm00001d044859	0	1	motif2	gene
Zm00001d044860	1	0	motif1	gene
Zm00001d044869	0	1	motif2	gene
Zm00001d044877	0	3	motif2	gene
Zm00001d044878	5	4	both	gene
Zm00001d044880	1	0	motif1	gene
Zm00001d044897	0	1	motif2	gene
Zm00001d044902	0	1	motif2	gene
Zm00001d044903	0	1	motif2	gene
Zm00001d044907	1	0	motif1	gene
Zm00001d044909	2	0	motif1	gene
Zm00001d044910	1	0	motif1	gene
Zm00001d044916	1	1	both	gene
Zm00001d044917	0	1	motif2	gene
Zm00001d044920	0	1	motif2	gene
Zm00001d044929	1	1	both	gene
Zm00001d044931	1	1	both	gene
Zm00001d044936	0	1	motif2	gene
Zm00001d044940	1	0	motif1	gene
Zm00001d044945	3	0	motif1	gene
Zm00001d044959	1	0	motif1	gene
Zm00001d044961	0	1	motif2	gene
Zm00001d044969	0	1	motif2	gene
Zm00001d044971	0	2	motif2	gene
Zm00001d044976	0	1	motif2	gene
Zm00001d044978	1	0	motif1	gene
Zm00001d044979	2	0	motif1	gene
Zm00001d044982	2	3	both	gene
Zm00001d044985	0	1	motif2	gene
Zm00001d044987	2	1	both	gene
Zm00001d044992	0	2	motif2	gene
Zm00001d044993	2	1	both	gene
Zm00001d044994	1	0	motif1	gene
Zm00001d045002	1	2	both	gene
Zm00001d045003	1	1	both	gene
Zm00001d045004	2	0	motif1	gene
Zm00001d045014	1	1	both	gene
Zm00001d045015	1	0	motif1	gene
Zm00001d045021	0	1	motif2	gene
Zm00001d045025	1	2	both	gene
Zm00001d045026	0	2	motif2	gene
Zm00001d045028	1	0	motif1	gene
Zm00001d045034	1	0	motif1	gene
Zm00001d045041	2	3	both	gene
Zm00001d045042	1	0	motif1	gene
Zm00001d045043	1	0	motif1	gene
Zm00001d045049	1	0	motif1	gene
Zm00001d045050	1	1	both	gene
Zm00001d045054	1	0	motif1	gene
Zm00001d045059	0	2	motif2	gene
Zm00001d045065	0	2	motif2	gene
Zm00001d045069	0	1	motif2	gene
Zm00001d045072	1	2	both	gene
Zm00001d045074	1	0	motif1	gene
Zm00001d045075	0	2	motif2	gene
Zm00001d045076	0	1	motif2	gene
Zm00001d045080	3	3	both	gene
Zm00001d045085	3	0	motif1	gene
Zm00001d045095	1	0	motif1	gene
Zm00001d045097	3	0	motif1	gene
Zm00001d045102	0	1	motif2	gene
Zm00001d045104	0	2	motif2	gene
Zm00001d045106	1	0	motif1	gene
Zm00001d045109	4	3	both	gene
Zm00001d045112	1	2	both	gene
Zm00001d045113	1	0	motif1	gene
Zm00001d045117	1	0	motif1	gene
Zm00001d045133	1	0	motif1	gene
Zm00001d045138	0	1	motif2	gene
Zm00001d045139	0	1	motif2	gene
Zm00001d045146	1	0	motif1	gene
Zm00001d045147	5	4	both	gene
Zm00001d045152	1	0	motif1	gene
Zm00001d045154	0	2	motif2	gene
Zm00001d045158	1	1	both	gene
Zm00001d045159	1	0	motif1	gene
Zm00001d045160	2	0	motif1	gene
Zm00001d045164	1	0	motif1	gene
Zm00001d045169	1	0	motif1	gene
Zm00001d045171	1	2	both	gene
Zm00001d045172	0	2	motif2	gene
Zm00001d045176	2	0	motif1	gene
Zm00001d045179	2	0	motif1	gene
Zm00001d045181	1	0	motif1	gene
Zm00001d045182	1	0	motif1	gene
Zm00001d045190	1	0	motif1	gene
Zm00001d045191	0	1	motif2	gene
Zm00001d045195	1	2	both	gene
Zm00001d045199	2	2	both	gene
Zm00001d045201	1	0	motif1	gene
Zm00001d045205	1	0	motif1	gene
Zm00001d045206	0	1	motif2	gene
Zm00001d045207	1	2	both	gene
Zm00001d045212	1	0	motif1	gene
Zm00001d045215	1	2	both	gene
Zm00001d045217	2	4	both	gene
Zm00001d045223	1	0	motif1	gene
Zm00001d045224	0	1	motif2	gene
Zm00001d045230	0	1	motif2	gene
Zm00001d045233	1	0	motif1	gene
Zm00001d045237	0	4	motif2	gene
Zm00001d045251	3	0	motif1	gene
Zm00001d045252	1	0	motif1	gene
Zm00001d045253	1	1	both	gene
Zm00001d045256	1	0	motif1	gene
Zm00001d045257	0	2	motif2	gene
Zm00001d045261	4	1	both	gene
Zm00001d045263	1	1	both	gene
Zm00001d045264	1	0	motif1	gene
Zm00001d045269	1	0	motif1	gene
Zm00001d045271	0	1	motif2	gene
Zm00001d045272	1	0	motif1	gene
Zm00001d045274	1	0	motif1	gene
Zm00001d045276	0	1	motif2	gene
Zm00001d045277	1	0	motif1	gene
Zm00001d045279	1	0	motif1	gene
Zm00001d045282	2	0	motif1	gene
Zm00001d045288	3	2	both	gene
Zm00001d045290	0	1	motif2	gene
Zm00001d045291	1	0	motif1	gene
Zm00001d045292	2	0	motif1	gene
Zm00001d045293	1	2	both	gene
Zm00001d045295	0	1	motif2	gene
Zm00001d045298	0	1	motif2	gene
Zm00001d045309	1	1	both	gene
Zm00001d045310	1	0	motif1	gene
Zm00001d045311	1	1	both	gene
Zm00001d045312	2	0	motif1	gene
Zm00001d045314	2	0	motif1	gene
Zm00001d045315	1	0	motif1	gene
Zm00001d045316	1	1	both	gene
Zm00001d045320	1	1	both	gene
Zm00001d045322	1	2	both	gene
Zm00001d045323	2	0	motif1	gene
Zm00001d045324	2	0	motif1	gene
Zm00001d045326	1	0	motif1	gene
Zm00001d045329	1	0	motif1	gene
Zm00001d045331	3	1	both	gene
Zm00001d045334	0	1	motif2	gene
Zm00001d045335	0	4	motif2	gene
Zm00001d045336	1	0	motif1	gene
Zm00001d045339	1	0	motif1	gene
Zm00001d045341	2	0	motif1	gene
Zm00001d045342	2	1	both	gene
Zm00001d045344	2	0	motif1	gene
Zm00001d045347	2	0	motif1	gene
Zm00001d045348	0	1	motif2	gene
Zm00001d045350	2	0	motif1	gene
Zm00001d045351	1	0	motif1	gene
Zm00001d045352	1	1	both	gene
Zm00001d045353	2	1	both	gene
Zm00001d045358	3	0	motif1	gene
Zm00001d045366	1	1	both	gene
Zm00001d045372	1	0	motif1	gene
Zm00001d045373	2	0	motif1	gene
Zm00001d045376	1	1	both	gene
Zm00001d045379	2	1	both	gene
Zm00001d045381	0	1	motif2	gene
Zm00001d045382	0	2	motif2	gene
Zm00001d045387	0	1	motif2	gene
Zm00001d045389	1	0	motif1	gene
Zm00001d045394	0	1	motif2	gene
Zm00001d045397	1	1	both	gene
Zm00001d045401	1	0	motif1	gene
Zm00001d045403	0	1	motif2	gene
Zm00001d045417	0	2	motif2	gene
Zm00001d045421	2	0	motif1	gene
Zm00001d045422	1	0	motif1	gene
Zm00001d045425	1	5	both	gene
Zm00001d045430	1	0	motif1	gene
Zm00001d045432	1	0	motif1	gene
Zm00001d045434	3	2	both	gene
Zm00001d045435	0	1	motif2	gene
Zm00001d045445	0	1	motif2	gene
Zm00001d045447	0	1	motif2	gene
Zm00001d045448	1	0	motif1	gene
Zm00001d045450	1	0	motif1	gene
Zm00001d045451	0	1	motif2	gene
Zm00001d045452	1	0	motif1	gene
Zm00001d045454	0	2	motif2	gene
Zm00001d045457	1	0	motif1	gene
Zm00001d045463	1	1	both	gene
Zm00001d045464	1	0	motif1	gene
Zm00001d045472	1	2	both	gene
Zm00001d045473	0	1	motif2	gene
Zm00001d045477	1	0	motif1	gene
Zm00001d045481	0	1	motif2	gene
Zm00001d045482	0	1	motif2	gene
Zm00001d045484	1	0	motif1	gene
Zm00001d045488	1	0	motif1	gene
Zm00001d045489	1	0	motif1	gene
Zm00001d045491	0	2	motif2	gene
Zm00001d045494	0	1	motif2	gene
Zm00001d045497	1	0	motif1	gene
Zm00001d045501	1	1	both	gene
Zm00001d045503	1	1	both	gene
Zm00001d045504	0	1	motif2	gene
Zm00001d045505	2	1	both	gene
Zm00001d045509	1	1	both	gene
Zm00001d045519	0	1	motif2	gene
Zm00001d045529	1	0	motif1	gene
Zm00001d045534	2	0	motif1	gene
Zm00001d045537	1	0	motif1	gene
Zm00001d045540	0	1	motif2	gene
Zm00001d045550	0	2	motif2	gene
Zm00001d045551	3	1	both	gene
Zm00001d045554	3	2	both	gene
Zm00001d045555	0	1	motif2	gene
Zm00001d045556	2	0	motif1	gene
Zm00001d045559	0	1	motif2	gene
Zm00001d045563	0	1	motif2	gene
Zm00001d045566	0	2	motif2	gene
Zm00001d045567	1	1	both	gene
Zm00001d045573	1	2	both	gene
Zm00001d045574	1	1	both	gene
Zm00001d045581	0	1	motif2	gene
Zm00001d045583	0	2	motif2	gene
Zm00001d045596	1	0	motif1	gene
Zm00001d045597	3	2	both	gene
Zm00001d045599	0	1	motif2	gene
Zm00001d045603	3	4	both	gene
Zm00001d045605	0	2	motif2	gene
Zm00001d045606	0	3	motif2	gene
Zm00001d045607	2	0	motif1	gene
Zm00001d045611	0	3	motif2	gene
Zm00001d045617	0	1	motif2	gene
Zm00001d045618	1	0	motif1	gene
Zm00001d045622	0	1	motif2	gene
Zm00001d045624	1	4	both	gene
Zm00001d045627	1	0	motif1	gene
Zm00001d045630	1	0	motif1	gene
Zm00001d045631	1	1	both	gene
Zm00001d045632	1	2	both	gene
Zm00001d045635	3	1	both	gene
Zm00001d045641	1	0	motif1	gene
Zm00001d045650	1	0	motif1	gene
Zm00001d045653	7	7	both	gene
Zm00001d045655	1	3	both	gene
Zm00001d045656	3	0	motif1	gene
Zm00001d045665	4	0	motif1	gene
Zm00001d045666	1	0	motif1	gene
Zm00001d045670	0	1	motif2	gene
Zm00001d045672	3	0	motif1	gene
Zm00001d045673	2	1	both	gene
Zm00001d045675	0	1	motif2	gene
Zm00001d045678	0	1	motif2	gene
Zm00001d045683	0	1	motif2	gene
Zm00001d045684	0	1	motif2	gene
Zm00001d045691	1	0	motif1	gene
Zm00001d045692	1	3	both	gene
Zm00001d045695	1	0	motif1	gene
Zm00001d045696	3	0	motif1	gene
Zm00001d045703	1	1	both	gene
Zm00001d045705	1	0	motif1	gene
Zm00001d045706	0	1	motif2	gene
Zm00001d045707	0	1	motif2	gene
Zm00001d045722	0	1	motif2	gene
Zm00001d045724	2	0	motif1	gene
Zm00001d045725	1	1	both	gene
Zm00001d045728	0	1	motif2	gene
Zm00001d045733	2	0	motif1	gene
Zm00001d045734	3	0	motif1	gene
Zm00001d045735	1	0	motif1	gene
Zm00001d045740	0	1	motif2	gene
Zm00001d045744	4	2	both	gene
Zm00001d045745	0	1	motif2	gene
Zm00001d045746	2	0	motif1	gene
Zm00001d045747	4	7	both	gene
Zm00001d045752	2	2	both	gene
Zm00001d045755	0	2	motif2	gene
Zm00001d045756	2	3	both	gene
Zm00001d045758	1	0	motif1	gene
Zm00001d045759	1	1	both	gene
Zm00001d045760	0	3	motif2	gene
Zm00001d045761	0	1	motif2	gene
Zm00001d045763	1	1	both	gene
Zm00001d045778	0	1	motif2	gene
Zm00001d045782	1	1	both	gene
Zm00001d045783	2	0	motif1	gene
Zm00001d045787	2	1	both	gene
Zm00001d045800	0	3	motif2	gene
Zm00001d045804	1	1	both	gene
Zm00001d045808	1	1	both	gene
Zm00001d045825	0	4	motif2	gene
Zm00001d045836	1	0	motif1	gene
Zm00001d045837	0	1	motif2	gene
Zm00001d045838	1	0	motif1	gene
Zm00001d045839	0	1	motif2	gene
Zm00001d045847	1	1	both	gene
Zm00001d045848	3	4	both	gene
Zm00001d045864	0	1	motif2	gene
Zm00001d045868	0	1	motif2	gene
Zm00001d045869	3	2	both	gene
Zm00001d045870	0	2	motif2	gene
Zm00001d045872	1	3	both	gene
Zm00001d045873	1	0	motif1	gene
Zm00001d045876	2	1	both	gene
Zm00001d045881	1	0	motif1	gene
Zm00001d045886	3	2	both	gene
Zm00001d045887	0	3	motif2	gene
Zm00001d045889	0	1	motif2	gene
Zm00001d045895	1	0	motif1	gene
Zm00001d045898	0	1	motif2	gene
Zm00001d045909	1	0	motif1	gene
Zm00001d045910	0	1	motif2	gene
Zm00001d045911	0	3	motif2	gene
Zm00001d045919	2	0	motif1	gene
Zm00001d045925	1	0	motif1	gene
Zm00001d045926	1	0	motif1	gene
Zm00001d045927	1	3	both	gene
Zm00001d045938	2	4	both	gene
Zm00001d045943	2	0	motif1	gene
Zm00001d045944	1	1	both	gene
Zm00001d045947	0	1	motif2	gene
Zm00001d045948	1	2	both	gene
Zm00001d045949	2	1	both	gene
Zm00001d045950	0	1	motif2	gene
Zm00001d045951	1	0	motif1	gene
Zm00001d045953	0	1	motif2	gene
Zm00001d045954	3	2	both	gene
Zm00001d045956	1	1	both	gene
Zm00001d045958	3	0	motif1	gene
Zm00001d045962	1	2	both	gene
Zm00001d045965	0	1	motif2	gene
Zm00001d045967	3	1	both	gene
Zm00001d045968	1	0	motif1	gene
Zm00001d045970	1	1	both	gene
Zm00001d045972	0	1	motif2	gene
Zm00001d045973	0	1	motif2	gene
Zm00001d045975	2	1	both	gene
Zm00001d045978	1	0	motif1	gene
Zm00001d045987	0	1	motif2	gene
Zm00001d045991	0	1	motif2	gene
Zm00001d045993	1	0	motif1	gene
Zm00001d045997	0	2	motif2	gene
Zm00001d045998	2	0	motif1	gene
Zm00001d046000	0	2	motif2	gene
Zm00001d046007	0	1	motif2	gene
Zm00001d046020	2	1	both	gene
Zm00001d046033	3	5	both	gene
Zm00001d046039	4	7	both	gene
Zm00001d046041	0	2	motif2	gene
Zm00001d046047	2	3	both	gene
Zm00001d046060	0	1	motif2	gene
Zm00001d046065	1	0	motif1	gene
Zm00001d046068	0	1	motif2	gene
Zm00001d046069	0	1	motif2	gene
Zm00001d046072	2	1	both	gene
Zm00001d046073	1	1	both	gene
Zm00001d046092	1	0	motif1	gene
Zm00001d046097	1	6	both	gene
Zm00001d046104	0	2	motif2	gene
Zm00001d046105	0	1	motif2	gene
Zm00001d046116	0	1	motif2	gene
Zm00001d046119	1	1	both	gene
Zm00001d046120	1	0	motif1	gene
Zm00001d046121	3	2	both	gene
Zm00001d046131	0	1	motif2	gene
Zm00001d046141	3	1	both	gene
Zm00001d046153	1	2	both	gene
Zm00001d046155	0	1	motif2	gene
Zm00001d046162	0	1	motif2	gene
Zm00001d046166	0	1	motif2	gene
Zm00001d046172	0	1	motif2	gene
Zm00001d046183	0	2	motif2	gene
Zm00001d046187	0	1	motif2	gene
Zm00001d046190	0	2	motif2	gene
Zm00001d046194	0	2	motif2	gene
