feature	filter.imprint.BW	syntelog.BW	imprinted.both.BW	filter.imprint.BP	syntelog.BP	feature_type	imprint	syntelog	agreement	expression.type	motif1	motif2	motif.type	either.motif	imprint.syntelog	syntenic.grasses	has.go.term
RLC00049Zm00001d00100	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00052Zm00001d00012	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00052Zm00001d00014	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00052Zm00001d00041	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00052Zm00001d00048	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00054Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00054Zm00001d00038	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00059Zm00001d00101	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00062Zm00001d00066	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00064Zm00001d00005	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00064Zm00001d00022	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00064Zm00001d00024	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
RLC00064Zm00001d00044	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00064Zm00001d00056	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00068Zm00001d00061	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00069Zm00001d00043	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00069Zm00001d00057	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00069Zm00001d00059	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00070Zm00001d00036	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00070Zm00001d00049	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00070Zm00001d00054	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00074Zm00001d00018	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00074Zm00001d00021	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00074Zm00001d00037	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00074Zm00001d00055	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00075Zm00001d00015	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00075Zm00001d00033	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00076Zm00001d00032	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00079Zm00001d00012	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00080Zm00001d00009	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00080Zm00001d00043	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00083Zm00001d00019	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00086Zm00001dS0106	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00096Zm00001d00005	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
RLC00096Zm00001d00010	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00112Zm00001d00032	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00118Zm00001d00022	no.imprint	na.te	na.te	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
RLC00125Zm00001d00031	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00127Zm00001d00019	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00137Zm00001d00009	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00139Zm00001d00019	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00145Zm00001d00003	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00148Zm00001d00008	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00148Zm00001d00019	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00148Zm00001d00021	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00148Zm00001d00023	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00148Zm00001d00025	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00150Zm00001d00014	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00151Zm00001d00011	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00153Zm00001d00005	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00157Zm00001d00011	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00158Zm00001d00004	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00161Zm00001d00024	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00161Zm00001dS0180	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00183Zm00001dS0162	not.detected	NA	NA	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
RLC00184Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00184Zm00001d00007	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00184Zm00001d00010	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00184Zm00001d00014	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00184Zm00001d00016	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00184Zm00001d00017	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00189Zm00001d00014	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00199Zm00001d00017	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00217Zm00001d00002	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00217Zm00001d00007	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00217Zm00001d00008	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00217Zm00001d00010	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00217Zm00001d00016	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00229Zm00001d00011	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00233Zm00001d00007	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00247Zm00001d00013	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00252Zm00001d00001	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00274Zm00001d00005	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00291Zm00001dS0065	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00291Zm00001dS0303	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00291Zm00001dS0514	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00314Zm00001d00007	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00316Zm00001d00008	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00318Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00318Zm00001d00006	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00340Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00367Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00373Zm00001d00004	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00447Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00462Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00462Zm00001d00003	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00462Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00473Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC00476Zm00001d00002	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00500Zm00001d00005	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00510Zm00001d00007	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00536Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00536Zm00001d00006	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00564Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00621Zm00001d00005	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00659Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC00664Zm00001d00003	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00664Zm00001d00004	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00699Zm00001d00005	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00701Zm00001d00006	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00771Zm00001d00005	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00785Zm00001d00002	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00785Zm00001d00003	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00833Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00833Zm00001d00003	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00854Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00854Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00854Zm00001d00003	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00854Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00854Zm00001d00005	PEG	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00882Zm00001d00003	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00885Zm00001d00001	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC00901Zm00001d00002	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00939Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00964Zm00001d00001	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC00986Zm00001d00001	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
RLC01026Zm00001d00004	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC01251Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC01319Zm00001d00004	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC01334Zm00001d00003	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC01335Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC01354Zm00001d00003	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC01423Zm00001d00003	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC01992Zm00001d00001	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC02043Zm00001d00001	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC02124Zm00001d00003	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
RLC02134Zm00001d00003	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC02357Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC02594Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC02610Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC02697Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC02705Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC02716Zm00001d00002	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
RLC02882Zm00001dS0015	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC02988Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC03184Zm00001d00002	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
RLC03275Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC03275Zm00001d00002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
RLC03301Zm00001d00002	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC03316Zm00001d00001	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
RLC03589Zm00001d00001	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
RLC03925Zm00001d00002	no.imprint	na.te	na.te	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
